Disease,Description,Diet
Itching,"Itching is a common symptom of many different skin conditions. It is often caused by irritation or allergic reactions, though it may also be a sign of a more serious underlying condition such as infections, liver disease, or kidney failure.","Avoid spicy food, use cooling drinks like coconut water, and consume anti-inflammatory foods like turmeric and ginger"
Skin rash,"Skin rash refers to any change in the skin's appearance, including redness, swelling, or the development of lesions. Rashes can be caused by allergic reactions, infections, or other systemic conditions.","Consume foods rich in vitamin E, avoid processed foods, and stay hydrated with water and herbal teas"
Nodal skin eruptions,"Nodal skin eruptions are usually associated with conditions like autoimmune diseases, infections, or certain cancers. They may present as bumps or lumps under the skin, and they can be painful or itchy.","Increase intake of fruits and vegetables, and avoid oily or fatty foods"
Dischromic patches,"Dischromic patches are areas of skin discoloration, often due to hyperpigmentation or hypopigmentation. These patches can be caused by sun exposure, hormonal changes, or certain skin conditions such as vitiligo.","Eat foods rich in antioxidants such as berries and green leafy vegetables, and drink plenty of water"
Continuous sneezing,"Continuous sneezing can be caused by allergic rhinitis, respiratory infections, or environmental factors such as pollen or dust. It is often accompanied by other symptoms like a runny nose or itchy eyes.","Avoid dairy products, consume anti-inflammatory foods, and drink warm teas"
Shivering,"Shivering is a physical response to cold temperatures, but it can also occur in conditions such as fever, infections, or neurological disorders.","Eat warm easily digestible foods like soups, stews, and broths, and drink herbal teas"
Chills,"Chills are typically associated with a fever or infection, though they can also occur due to emotional stress or a sudden drop in body temperature.","Increase consumption of ginger, garlic, and honey in warm beverages, and stay hydrated"
Watering from eyes,"Watering from eyes occurs when the tear glands produce excess tears. This can be due to irritation, allergies, or conditions like conjunctivitis.","Consume foods rich in vitamin A and omega-3 fatty acids, and drink plenty of water"
Stomach pain,"Stomach pain is a common symptom of a variety of gastrointestinal conditions. It can be caused by indigestion, ulcers, infections, or inflammatory bowel disease.","Eat light bland foods like rice, bananas, and boiled vegetables, and avoid spicy foods"
Acidity,"Acidity refers to an excessive amount of acid in the stomach, leading to discomfort or a burning sensation, commonly known as heartburn.","Avoid caffeine, spicy foods, and fatty foods, and consume ginger tea or aloe vera juice"
Ulcers on tongue,"Ulcers on the tongue are open sores that can be painful and may be caused by stress, infections, or certain medical conditions.","Avoid spicy and acidic foods, and consume soft cool foods like yogurt and smoothies"
Vomiting,"Vomiting is the forceful expulsion of stomach contents and can occur due to infections, gastrointestinal issues, or as a side effect of medication.","Drink clear fluids like water, coconut water, and clear broths, and consume light foods once able"
Cough,"Coughing is a reflex action to clear the airways of irritants, mucus, or foreign substances. It can be caused by infections, allergies, or chronic respiratory conditions.","Consume honey, ginger, and turmeric, and stay hydrated with herbal teas and soups"
Nausea,"Nausea is a feeling of discomfort in the stomach, often accompanied by the urge to vomit. It can be caused by gastrointestinal issues, infections, or even emotional stress.","Eat bland foods like crackers, rice, and toast, and avoid greasy or heavy meals"
Yellowish skin,"Yellowish skin, or jaundice, occurs when there is an excess of bilirubin in the bloodstream. It is often a sign of liver disease, hepatitis, or other conditions affecting the liver or bile ducts.","Increase intake of vitamin C-rich foods like citrus fruits, and avoid alcohol and fatty foods"
Loss of appetite,"Loss of appetite refers to a decrease in the desire to eat and can be a sign of various conditions, including infections, gastrointestinal issues, or psychological disorders like depression.","Try light appetizing foods like fresh fruit, soups, and smoothies"
Burning micturition,Burning micturition refers to a painful or burning sensation while urinating. It is often caused by urinary tract infections or irritation of the urinary system.,"Drink plenty of water, and consume cranberry juice or parsley tea"
Spotting urination,"Spotting urination is characterized by the presence of small amounts of urine, often accompanied by discomfort. It can be caused by urinary infections, kidney stones, or other urinary tract issues.","Drink water throughout the day, and avoid caffeine and alcohol"
Passage of gases,"Passage of gases is a normal bodily function, but excessive gas can indicate gastrointestinal disorders such as indigestion, irritable bowel syndrome, or other digestive issues.","Consume digestive aids like ginger, peppermint tea, and fennel seeds"
Indigestion,"Indigestion refers to discomfort in the upper abdomen, often caused by overeating, eating spicy foods, or gastrointestinal conditions like gastroesophageal reflux disease (GERD).","Eat smaller more frequent meals, and avoid fatty or spicy foods"
Patches in throat,"Patches in the throat can indicate a variety of infections, including viral or bacterial throat infections, and may result in sore throat, discomfort, and difficulty swallowing.","Consume warm fluids like soups, herbal teas, and avoid spicy or acidic foods"
Muscle wasting,"Muscle wasting refers to the loss of muscle mass, often due to conditions like malnutrition, chronic illness, or muscle diseases like muscular dystrophy.","Eat protein-rich foods like eggs, lean meats, and legumes"
Extra marital contacts,Extra marital contacts can increase the risk of sexually transmitted diseases (STDs) and can lead to emotional or psychological issues.,"Maintain a balanced diet with plenty of fruits, vegetables, and whole grains for overall health"
Fatigue,"Fatigue is characterized by persistent tiredness that does not improve with rest. It can be caused by various conditions, including infections, sleep disorders, or chronic illnesses.","Consume iron-rich foods like spinach, lentils, and red meat, and stay hydrated"
Weight loss,"Unexplained weight loss can be a sign of various medical conditions, including metabolic disorders, cancer, or gastrointestinal issues.","Consume calorie-dense foods like nuts, avocados, and smoothies"
Restlessness,"Restlessness is characterized by an inability to relax or remain still, often caused by anxiety, stress, or certain neurological conditions.","Eat foods rich in magnesium such as spinach, almonds, and bananas"
Lethargy,"Lethargy refers to a state of sluggishness and low energy, often resulting from infections, poor sleep, or underlying medical conditions.","Increase intake of whole grains, lean proteins, and fruits for energy"
Irregular sugar level,"Irregular sugar levels in the blood, often seen in conditions like diabetes, can cause various symptoms including fatigue, excessive thirst, and frequent urination.","Include fiber-rich foods like oats, leafy greens, and beans, and avoid processed sugars"
Sunken eyes,"Sunken eyes can be a sign of dehydration, malnutrition, or other serious health issues affecting the overall well-being.","Consume vitamin C-rich foods like oranges, and ensure adequate hydration"
Diarrhoea,"Diarrhoea is the frequent passing of loose or watery stools and can be caused by infections, dietary factors, or gastrointestinal disorders.","Eat bland foods like rice, applesauce, and bananas, and avoid dairy products"
Dehydration,"Dehydration occurs when the body loses more fluids than it takes in, leading to symptoms like dry mouth, dizziness, and dark urine.","DeIncrease water intake, and consume foods like watermelon and cucumbers"
Family history,"Family history refers to the health conditions that run in a person's family, which may increase their risk for developing similar conditions.",Maintain a balanced diet with a focus on prevention including antioxidant-rich foods
Dizziness,"Dizziness is a feeling of lightheadedness or unsteadiness, often caused by dehydration, low blood pressure, or vestibular disorders.","Eat foods rich in vitamin B12 and iron, and avoid large meals"
Chest pain,"Chest pain can be caused by a variety of issues, including heart conditions, musculoskeletal problems, or gastrointestinal disorders.","Consume heart-healthy foods like oatmeal, berries, and fatty fish like salmon"
Loss of balance,"Loss of balance can be caused by inner ear problems, neurological issues, or musculoskeletal conditions.","Eat a balanced diet rich in vitamin D and calcium, and maintain hydration"
Lack of concentration,"Difficulty focusing or concentrating can be a sign of mental health conditions like depression or anxiety, or physical conditions like sleep disorders.","Increase omega-3 fatty acids found in fish and flax seeds, and avoid sugary snacks"
Blurred and distorted vision,"Blurred or distorted vision can result from eye conditions like cataracts, glaucoma, or more serious conditions like diabetes or neurological disorders.",Consume foods rich in vitamin A and beta-carotene such as carrots and sweet potatoes
Excessive hunger,"Excessive hunger, or polyphagia, can be caused by conditions like diabetes, hyperthyroidism, or emotional issues.","excessive hunger: Eat balanced meals with protein, healthy fats, and fiber to keep full longer"
Back pain,"Back pain is a common condition that can result from poor posture, muscle strain, or more serious conditions like herniated discs or spinal stenosis.","Consume anti-inflammatory foods like ginger and turmeric, and stay hydrated"
Weakness in limbs,"Weakness in the limbs can be caused by neurological conditions, muscle disorders, or injuries affecting the nervous system.","Increase protein intake from lean meats, legumes, and tofu"
Neck pain,"Neck pain can result from poor posture, muscle strain, or conditions like cervical spondylosis or herniated discs.","Eat anti-inflammatory foods like cherries, and stay hydrated"
Weakness of one body side,"Weakness on one side of the body can be a sign of neurological conditions like a stroke, multiple sclerosis, or a brain injury.","Eat a balanced diet rich in fruits, vegetables, and lean proteins"
Altered sensorium,"Altered sensorium refers to changes in a person's consciousness or awareness, often seen in conditions like infections, brain injuries, or psychiatric disorders.","Ensure adequate hydration, and consume foods that promote brain health like omega-3 rich foods"
Joint pain,"Joint pain, or arthritis, can result from inflammation, wear and tear, or autoimmune conditions affecting the joints.","Consume anti-inflammatory foods like turmeric, ginger, and green leafy vegetables"
Dark urine,"Dark urine can indicate dehydration, liver issues, or the presence of blood in the urine.",Increase water intake and eat foods rich in antioxidants
Swelling of stomach,"Abdominal swelling, or bloating, can be caused by conditions like digestive disorders, infections, or ascites due to liver disease.","Eat small meals throughout the day, and avoid foods that cause bloating"
Abdominal pain,"Abdominal pain can result from various gastrointestinal issues, infections, or inflammatory conditions.","Consume bland easily digestible foods like rice and bananas, and avoid spicy foods"
Distention of abdomen,"Abdominal distention occurs when the abdomen becomes enlarged, often due to bloating, gas, or fluid retention.","Increase intake of fiber-rich foods, and stay hydrated"
Pain in anal region,"Pain in the anal region can result from hemorrhoids, anal fissures, or infections.",Consume fiber-rich foods to help prevent constipation and ease discomfort
Constipation,"Constipation refers to difficulty in passing stools and can be caused by poor diet, dehydration, or gastrointestinal conditions.","Eat fiber-rich foods like whole grains, fruits, and vegetables, and drink plenty of water"
Bloody stool,"Bloody stool may indicate gastrointestinal bleeding, which can be caused by conditions like hemorrhoids, ulcers, or colorectal cancer.","Seek medical advice, consume easy-to-digest foods like soups, and avoid spicy foods"
Irritation in anus,"Irritation in the anus can result from conditions like hemorrhoids, infections, or allergic reactions to hygiene products.",Consume fiber-rich foods and stay hydrated to ease discomfort
Sweating,"Sweating is the body's way of regulating temperature, but excessive sweating can be caused by conditions like hyperhidrosis, infections, or hormonal imbalances.","Drink plenty of water, and eat cooling foods like cucumbers and watermelon"
Swollen legs,"Swelling in the legs can be caused by fluid retention, poor circulation, or conditions like heart failure or kidney disease.","Increase potassium-rich foods like bananas and spinach, and reduce salt intake"
Obesity,"Obesity is characterized by excessive body fat and is associated with a higher risk of conditions like diabetes, hypertension, and heart disease.","Consume a balanced diet with a focus on whole foods, and avoid processed foods"
Cramps,"Muscle cramps are sudden, painful contractions of muscles, often caused by dehydration, electrolyte imbalances, or muscle overuse.","Increase magnesium-rich foods like almonds, spinach, and bananas"
Bruising,"Bruising occurs when blood vessels under the skin break, and can be caused by trauma, certain medications, or clotting disorders.",Consume vitamin C-rich foods like oranges and strawberries to help with healing
Mood swings,"Mood swings refer to rapid and extreme changes in mood, often seen in mental health disorders like bipolar disorder or as a side effect of medications.","Eat foods rich in omega-3 fatty acids such as fish, and maintain stable blood sugar levels"
Cold hands and feets,"Cold hands and feet can be caused by poor circulation, Raynaud's disease, or other vascular conditions.","Consume warm easily digestible foods, and stay hydrated"
Weight gain,"Unexplained weight gain can be a sign of hormonal imbalances, thyroid issues, or certain medications.","Maintain a balanced diet with portion control, and avoid high-calorie processed foods"
Hip joint pain,"Hip joint pain can be caused by conditions like arthritis, hip fractures, or muscle strains.","Eat anti-inflammatory foods like turmeric, and consume omega-3 fatty acids from fish"
Movement stiffness,"Stiffness in movement can result from conditions like arthritis, neurological disorders, or muscle injuries.",Eat foods rich in antioxidants and omega-3 fatty acids to reduce inflammation
Painful walking,"Painful walking is often caused by joint problems, muscle strain, or conditions like plantar fasciitis or arthritis.","Consume anti-inflammatory foods like ginger and turmeric, and stay hydrated"
Muscle weakness,"Muscle weakness can be caused by neurological conditions, muscle diseases, or systemic illnesses.","Increase protein intake from sources like lean meats, fish, and legumes"
Stiff neck,"A stiff neck is often caused by muscle strain, poor posture, or conditions like cervical spondylosis or a herniated disc.","Increase intake of anti-inflammatory foods like ginger, and stay hydrated"
Scurring,"Can be caused by dermatitis, infections, or excessive dryness","Eat vitamin-rich foods such as fruits and vegetables, and stay hydrated"
Pus filled pimples,"Could be due to bacterial infections like acne, impetigo, or folliculitis","Eat antioxidant-rich foods like berries, and avoid dairy and greasy foods"
Blackheads,Caused by clogged hair follicles due to excess oil and dead skin,"Eat foods that support skin health like antioxidants, and stay hydrated"
Continuous feel of urine,"May indicate urinary tract infection (UTI), overactive bladder, or interstitial cystitis","Drink plenty of water, and avoid caffeine and alcohol"
Foul smell of urine,"Often caused by dehydration, UTI, or metabolic disorders","Increase water intake, and avoid foods that may cause odor like asparagus"
Bladder discomfort,"Could be linked to UTI, cystitis, or interstitial cystitis","Drink plenty of fluids, and avoid caffeinated and alcoholic beverages"
Silver like dusting,May be related to skin conditions like eczema or psoriasis,"Increase hydration, and consume foods rich in omega-3 fatty acids and antioxidants"
Skin peeling,"Can be caused by fungal infections, eczema, sunburn, or severe dryness","Consume vitamin E-rich foods like nuts, and stay hydrated"
Red sore around nose,"May indicate a cold sore, rosacea, or allergic reaction",Consume cooling foods like cucumbers and aloe vera
Blister,"Caused by friction, burns, or viral infections like herpes simplex",Eat foods that promote healing such as vitamin C-rich foods
Anxiety,"Often related to stress, nervous system imbalance, or mental health disorders","Eat magnesium-rich foods like spinach and nuts, and drink chamomile tea"
Fungal infection,"Resulting from pathogenic fungi affecting skin, nails, or mucous membranes",Consume anti-fungal foods like garlic and coconut oil
Allergy,"Immune response to allergens like pollen, dust, or food",Eat anti-inflammatory foods and avoid allergens
GERD,"Caused by stomach acid flowing back into the esophagus, leading to discomfort","Avoid spicy acidic and greasy foods, and consume smaller meals"
Chronic cholestasis,"A liver disorder affecting bile flow, leading to symptoms like jaundice",Eat liver-supporting foods like leafy greens and avoid alcohol
Drug Reaction,Side effects from medications that can cause skin rashes or internal issues,"Consult a healthcare provider for a balanced diet, and consume anti-inflammatory foods"
Peptic ulcer disease,"Sores in the lining of the stomach or duodenum, often caused by infection or NSAID use","Avoid spicy and acidic foods, and eat bland foods like rice and bananas"
AIDS,"Caused by the HIV virus attacking the immune system, leading to immune deficiency",Consume a balanced diet with adequate protein and nutrient-dense foods
Diabetes,Metabolic disorder causing high blood sugar levels due to insulin issues,"Eat low-glycemic index foods like whole grains, and avoid processed sugars"
Gastroenteritis,Inflammation of the stomach and intestines due to infection or irritants,Consume fluids like electrolyte solutions and bland foods like rice and bananas
Bronchial Asthma,Chronic inflammation of the airways causing breathing difficulties and wheezing,"Consume anti-inflammatory foods like turmeric, and stay hydrated"
Hypertension,"High blood pressure, often related to genetics, diet, or lack of exercise","Consume low-sodium foods, and increase potassium-rich foods like bananas"
Migraine,"Severe headaches associated with nausea, vomiting, and sensitivity to light",Consume magnesium-rich foods like spinach and avoid caffeine and processed foods
Cervical spondylosis,Age-related wear and tear of the neck's vertebrae leading to stiffness and pain,Consume anti-inflammatory foods and foods rich in vitamin D
Paralysis (brain hemorrhage),Loss of movement or sensation due to bleeding in the brain,Increase intake of protein-rich foods and antioxidants
Jaundice,Yellowing of the skin and eyes caused by liver dysfunction or bile blockage,Consume liver-supporting foods like leafy greens and avoid alcohol and fatty foods
Malaria,"Mosquito-borne infectious disease causing fever, chills, and flu-like symptoms",Eat a balanced diet rich in fruits and vegetables to support the immune system
Chicken pox,Contagious viral infection causing an itchy rash and fever,"Stay hydrated, eat soft and bland foods like boiled vegetables, rice, and soups. Avoid spicy and fried foods."
Dengue,"Mosquito-borne viral infection leading to flu-like symptoms, rashes, and sometimes severe complications","Consume papaya leaf juice, coconut water, pomegranate, and foods rich in vitamin C. Avoid oily and spicy foods.,"
Typhoid,"Bacterial infection causing fever, abdominal pain, and digestive issues","Eat easily digestible foods like porridge, boiled potatoes, bananas, and yogurt. Avoid raw vegetables and spicy foods.,"
Hepatitis A,Viral infection of the liver spread by contaminated food or water,"Focus on fruits, vegetables, whole grains, and lean protein. Avoid alcohol and fatty foods.,"
Hepatitis B,"Viral infection affecting the liver, transmitted through bodily fluids","Eat high-protein foods like fish, eggs, and beans. Avoid alcohol, fried, and processed foods.,"
Hepatitis C,"Chronic viral infection of the liver, often leading to cirrhosis or liver cancer","Consume fruits, vegetables, whole grains, and lean proteins. Avoid alcohol and fatty foods.,"
Hepatitis D,"Occurs only in people infected with Hepatitis B, leading to liver damage","Focus on a balanced diet with fruits, vegetables, and lean proteins. Avoid processed and sugary foods.,"
Hepatitis E,"Viral infection causing liver inflammation, typically spread through contaminated water","Eat small, frequent meals with high-fiber foods. Avoid fatty, fried, and spicy foods.,"
Alcoholic hepatitis,Inflammation of the liver due to excessive alcohol consumption,"Consume foods rich in antioxidants and vitamin E, like nuts, seeds, and leafy greens. Avoid alcohol and high-fat foods.,"
Tuberculosis,"Bacterial infection primarily affecting the lungs, causing coughing, fever, and weight loss","Eat foods rich in protein, vitamins, and minerals like milk, eggs, fruits, and vegetables. Avoid caffeine and alcohol.,"
Common Cold,"Viral upper respiratory infection causing sneezing, coughing, and sore throat","Drink warm fluids like soup and herbal tea. Eat citrus fruits, ginger, and honey. Avoid cold and oily foods.,"
Pneumonia,"Infection of the lungs causing cough, fever, and difficulty breathing","Eat soft, nutrient-dense foods like soups, eggs, and cooked vegetables. Stay hydrated. Avoid cold drinks.,"
Dimorphic hemmorhoids(piles),Swollen veins in the rectum leading to discomfort and bleeding,"Increase fiber intake with fruits, vegetables, and whole grains. Drink plenty of water and avoid spicy foods.,"
Heart attack,"Blockage of blood flow to the heart, causing chest pain and potential heart muscle damage","Consume a heart-healthy diet with fruits, vegetables, whole grains, lean proteins, and healthy fats. Avoid trans fats and high-sodium foods.,"
Varicose veins,"Swollen, twisted veins, usually in the legs, caused by valve issues in blood vessels","Eat high-fiber foods, berries, and citrus fruits. Avoid salt-heavy and processed foods.,"
Hypothyroidism,"Underactive thyroid causing fatigue, weight gain, and sensitivity to cold","Consume iodine-rich foods like fish and dairy. Avoid soy products and highly processed foods.,"
Hypoglycemia,"Low blood sugar levels, leading to symptoms like shaking, sweating, and confusion","Eat small, frequent meals with complex carbohydrates, protein, and healthy fats. Avoid sugary snacks and alcohol.,"
Osteoarthritis,"Degenerative joint disease leading to pain, stiffness, and loss of mobility","Consume anti-inflammatory foods like fatty fish, nuts, and leafy greens. Avoid processed foods and sugar.,"
Arthritis,"Inflammation of the joints, causing pain, swelling, and stiffness","Focus on omega-3-rich foods like fish and flaxseeds. Avoid red meat and high-sugar foods.,"
Paroxysmal Positional Vertigo,Sudden dizziness caused by changes in head position,"Stay hydrated and maintain a balanced diet rich in fruits and vegetables. Avoid caffeine and alcohol.,"
Acne,"Skin condition caused by clogged pores, leading to pimples, blackheads, and cysts","Eat a diet rich in omega-3 fatty acids, whole grains, and fruits. Avoid dairy and high-sugar foods.,"
Urinary tract infection,"Bacterial infection affecting the urinary system, causing burning and frequent urination","Drink plenty of water, consume cranberries, and eat probiotics like yogurt. Avoid caffeine and spicy foods.,"
Psoriasis,"Autoimmune condition causing red, scaly patches on the skin","Focus on anti-inflammatory foods like fish, nuts, and leafy greens. Avoid alcohol and processed foods.,"
Impetigo,Contagious bacterial skin infection causing blisters and sores,"Eat immune-boosting foods like citrus fruits and yogurt. Avoid sugary and processed foods.,"
Lupus,Chronic autoimmune disease causing inflammation in various body systems,"Consume anti-inflammatory foods like fatty fish, fruits, and vegetables. Avoid garlic and alfalfa sprouts.,"
Celiac disease,"Autoimmune disorder triggered by gluten, leading to digestive and systemic symptoms","Follow a strict gluten-free diet with fruits, vegetables, and gluten-free grains. Avoid all sources of gluten.,"
Multiple sclerosis,"Chronic disease affecting the central nervous system, causing muscle weakness and coordination issues","Consume omega-3-rich foods, whole grains, and leafy greens. Avoid saturated fats and processed foods.,"
Chronic fatigue syndrome,"Persistent fatigue not relieved by rest, often accompanied by muscle pain and memory problems","Eat a balanced diet with lean protein, whole grains, and vegetables. Avoid caffeine and sugar.,"
Leukemia,"Cancer of the blood or bone marrow, leading to abnormal blood cell production","Focus on nutrient-dense foods like fruits, vegetables, and lean proteins. Avoid raw and undercooked foods.,"
Anemia,"Condition marked by low red blood cell count, causing fatigue and weakness","Consume iron-rich foods like spinach, beans, and red meat. Include vitamin C-rich foods for better absorption.,"
Epilepsy,Neurological disorder causing recurrent seizures due to abnormal brain activity,"Follow a ketogenic diet if recommended by a doctor. Avoid alcohol and caffeine.,"
Schizophrenia,"Mental disorder causing hallucinations, delusions, and cognitive issues","Eat a balanced diet with omega-3 fatty acids, fruits, and vegetables. Avoid caffeine and sugar."
Bipolar disorder,"Mood disorder characterized by extreme mood swings, including mania and depression","Bipolar disorder: Consume foods rich in omega-3s, whole grains, and lean proteins. Avoid alcohol and caffeine.,"
Parkinson's disease,"Neurodegenerative disorder affecting movement, causing tremors, rigidity, and bradykinesia","Eat antioxidant-rich foods like berries, nuts, and leafy greens. Avoid high-fat and processed foods.,"
Alzheimer's disease,Progressive neurodegenerative disorder causing memory loss and cognitive decline,"Consume a Mediterranean diet with olive oil, fish, and vegetables. Avoid processed and sugary foods.,"
Cystic fibrosis,"Genetic disorder affecting the lungs and digestive system, leading to thick mucus production","Eat high-calorie, high-protein foods with vitamin-rich supplements. Avoid greasy and heavy foods.,"
HIV,"Virus attacking the immune system, making the body vulnerable to infections","Focus on nutrient-dense foods like lean protein, whole grains, and vegetables. Avoid raw and undercooked foods.,"
